id,area,time,population,area_km2,area_population_density,foot_traffic,area_type,socially_vulnerable_zone,minorities_zone,student_zone,nightlife_zone,day_of_week,hour,is_weekend,is_night,weather,incident_count
10757,Ränilinn,2026-02-21 21:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Saturday,21,1,1,snow,0
10758,Supilinn,2026-02-21 21:00:00,2307,0.483,4776,low,residential,1,0,1,0,Saturday,21,1,1,snow,1
10759,Tammelinn,2026-02-21 21:00:00,8118,3.182,2551,low,residential,0,0,0,0,Saturday,21,1,1,snow,0
10760,Tähtvere,2026-02-21 21:00:00,3158,2.5,1263,low,residential,0,0,0,0,Saturday,21,1,1,snow,0
10761,Vaksali,2026-02-21 21:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Saturday,21,1,1,snow,1
10762,Variku,2026-02-21 21:00:00,1714,0.761,2252,low,residential,1,0,0,0,Saturday,21,1,1,snow,0
10763,Veeriku,2026-02-21 21:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Saturday,21,1,1,snow,0
10764,Ülejõe,2026-02-21 21:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Saturday,21,1,1,snow,0
10765,Annelinn,2026-02-21 22:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Saturday,22,1,1,snow,0
10766,Ihaste,2026-02-21 22:00:00,3050,4.8,635,low,residential,0,0,0,0,Saturday,22,1,1,snow,0
10767,Jaamamõisa,2026-02-21 22:00:00,3464,1.5,2309,low,residential,1,1,0,0,Saturday,22,1,1,snow,0
10768,Karlova,2026-02-21 22:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Saturday,22,1,1,snow,1
10769,Kesklinn,2026-02-21 22:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Saturday,22,1,1,snow,2
10770,Kvissentali,2026-02-21 22:00:00,865,1.509,573,low,residential,0,0,0,0,Saturday,22,1,1,snow,0
10771,Maarjamõisa,2026-02-21 22:00:00,477,1.133,421,low,residential,0,0,0,0,Saturday,22,1,1,snow,0
10772,Raadi-Kruusamäe,2026-02-21 22:00:00,4804,2.828,1699,low,residential,0,0,0,0,Saturday,22,1,1,snow,0
10773,Ropka,2026-02-21 22:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Saturday,22,1,1,snow,0
10774,Ropka tööstuse,2026-02-21 22:00:00,2198,3.249,676,low,commercial,1,1,0,0,Saturday,22,1,1,snow,0
10775,Ränilinn,2026-02-21 22:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Saturday,22,1,1,snow,0
10776,Supilinn,2026-02-21 22:00:00,2307,0.483,4776,low,residential,1,0,1,0,Saturday,22,1,1,snow,0
10777,Tammelinn,2026-02-21 22:00:00,8118,3.182,2551,low,residential,0,0,0,0,Saturday,22,1,1,snow,0
10778,Tähtvere,2026-02-21 22:00:00,3158,2.5,1263,low,residential,0,0,0,0,Saturday,22,1,1,snow,1
10779,Vaksali,2026-02-21 22:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Saturday,22,1,1,snow,1
10780,Variku,2026-02-21 22:00:00,1714,0.761,2252,low,residential,1,0,0,0,Saturday,22,1,1,snow,0
10781,Veeriku,2026-02-21 22:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Saturday,22,1,1,snow,0
10782,Ülejõe,2026-02-21 22:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Saturday,22,1,1,snow,1
10783,Annelinn,2026-02-21 23:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Saturday,23,1,1,snow,0
10784,Ihaste,2026-02-21 23:00:00,3050,4.8,635,low,residential,0,0,0,0,Saturday,23,1,1,snow,0
10785,Jaamamõisa,2026-02-21 23:00:00,3464,1.5,2309,low,residential,1,1,0,0,Saturday,23,1,1,snow,0
10786,Karlova,2026-02-21 23:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Saturday,23,1,1,snow,0
10787,Kesklinn,2026-02-21 23:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Saturday,23,1,1,snow,3
10788,Kvissentali,2026-02-21 23:00:00,865,1.509,573,low,residential,0,0,0,0,Saturday,23,1,1,snow,0
10789,Maarjamõisa,2026-02-21 23:00:00,477,1.133,421,low,residential,0,0,0,0,Saturday,23,1,1,snow,0
10790,Raadi-Kruusamäe,2026-02-21 23:00:00,4804,2.828,1699,low,residential,0,0,0,0,Saturday,23,1,1,snow,0
10791,Ropka,2026-02-21 23:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Saturday,23,1,1,snow,0
10792,Ropka tööstuse,2026-02-21 23:00:00,2198,3.249,676,low,commercial,1,1,0,0,Saturday,23,1,1,snow,0
10793,Ränilinn,2026-02-21 23:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Saturday,23,1,1,snow,0
10794,Supilinn,2026-02-21 23:00:00,2307,0.483,4776,low,residential,1,0,1,0,Saturday,23,1,1,snow,0
10795,Tammelinn,2026-02-21 23:00:00,8118,3.182,2551,low,residential,0,0,0,0,Saturday,23,1,1,snow,0
10796,Tähtvere,2026-02-21 23:00:00,3158,2.5,1263,low,residential,0,0,0,0,Saturday,23,1,1,snow,0
10797,Vaksali,2026-02-21 23:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Saturday,23,1,1,snow,0
10798,Variku,2026-02-21 23:00:00,1714,0.761,2252,low,residential,1,0,0,0,Saturday,23,1,1,snow,0
10799,Veeriku,2026-02-21 23:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Saturday,23,1,1,snow,0
10800,Ülejõe,2026-02-21 23:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Saturday,23,1,1,snow,0
10801,Annelinn,2026-02-22 00:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Sunday,0,1,1,rain,0
10802,Ihaste,2026-02-22 00:00:00,3050,4.8,635,low,residential,0,0,0,0,Sunday,0,1,1,rain,0
10803,Jaamamõisa,2026-02-22 00:00:00,3464,1.5,2309,low,residential,1,1,0,0,Sunday,0,1,1,rain,0
10804,Karlova,2026-02-22 00:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Sunday,0,1,1,rain,1
10805,Kesklinn,2026-02-22 00:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Sunday,0,1,1,rain,1
10806,Kvissentali,2026-02-22 00:00:00,865,1.509,573,low,residential,0,0,0,0,Sunday,0,1,1,rain,0
10807,Maarjamõisa,2026-02-22 00:00:00,477,1.133,421,low,residential,0,0,0,0,Sunday,0,1,1,rain,0
10808,Raadi-Kruusamäe,2026-02-22 00:00:00,4804,2.828,1699,low,residential,0,0,0,0,Sunday,0,1,1,rain,0
10809,Ropka,2026-02-22 00:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Sunday,0,1,1,rain,0
10810,Ropka tööstuse,2026-02-22 00:00:00,2198,3.249,676,low,commercial,1,1,0,0,Sunday,0,1,1,rain,0
10811,Ränilinn,2026-02-22 00:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Sunday,0,1,1,rain,0
10812,Supilinn,2026-02-22 00:00:00,2307,0.483,4776,low,residential,1,0,1,0,Sunday,0,1,1,rain,0
10813,Tammelinn,2026-02-22 00:00:00,8118,3.182,2551,low,residential,0,0,0,0,Sunday,0,1,1,rain,0
10814,Tähtvere,2026-02-22 00:00:00,3158,2.5,1263,low,residential,0,0,0,0,Sunday,0,1,1,rain,0
10815,Vaksali,2026-02-22 00:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Sunday,0,1,1,rain,0
10816,Variku,2026-02-22 00:00:00,1714,0.761,2252,low,residential,1,0,0,0,Sunday,0,1,1,rain,0
10817,Veeriku,2026-02-22 00:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Sunday,0,1,1,rain,0
10818,Ülejõe,2026-02-22 00:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Sunday,0,1,1,rain,0
10819,Annelinn,2026-02-22 01:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Sunday,1,1,1,rain,0
10820,Ihaste,2026-02-22 01:00:00,3050,4.8,635,low,residential,0,0,0,0,Sunday,1,1,1,rain,0
10821,Jaamamõisa,2026-02-22 01:00:00,3464,1.5,2309,low,residential,1,1,0,0,Sunday,1,1,1,rain,0
10822,Karlova,2026-02-22 01:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Sunday,1,1,1,rain,0
10823,Kesklinn,2026-02-22 01:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Sunday,1,1,1,rain,3
10824,Kvissentali,2026-02-22 01:00:00,865,1.509,573,low,residential,0,0,0,0,Sunday,1,1,1,rain,0
10825,Maarjamõisa,2026-02-22 01:00:00,477,1.133,421,low,residential,0,0,0,0,Sunday,1,1,1,rain,0
10826,Raadi-Kruusamäe,2026-02-22 01:00:00,4804,2.828,1699,low,residential,0,0,0,0,Sunday,1,1,1,rain,0
10827,Ropka,2026-02-22 01:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Sunday,1,1,1,rain,0
10828,Ropka tööstuse,2026-02-22 01:00:00,2198,3.249,676,low,commercial,1,1,0,0,Sunday,1,1,1,rain,0
10829,Ränilinn,2026-02-22 01:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Sunday,1,1,1,rain,0
10830,Supilinn,2026-02-22 01:00:00,2307,0.483,4776,low,residential,1,0,1,0,Sunday,1,1,1,rain,0
10831,Tammelinn,2026-02-22 01:00:00,8118,3.182,2551,low,residential,0,0,0,0,Sunday,1,1,1,rain,0
10832,Tähtvere,2026-02-22 01:00:00,3158,2.5,1263,low,residential,0,0,0,0,Sunday,1,1,1,rain,0
10833,Vaksali,2026-02-22 01:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Sunday,1,1,1,rain,0
10834,Variku,2026-02-22 01:00:00,1714,0.761,2252,low,residential,1,0,0,0,Sunday,1,1,1,rain,0
10835,Veeriku,2026-02-22 01:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Sunday,1,1,1,rain,0
10836,Ülejõe,2026-02-22 01:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Sunday,1,1,1,rain,0
10837,Annelinn,2026-02-22 02:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Sunday,2,1,1,rain,2
10838,Ihaste,2026-02-22 02:00:00,3050,4.8,635,low,residential,0,0,0,0,Sunday,2,1,1,rain,0
10839,Jaamamõisa,2026-02-22 02:00:00,3464,1.5,2309,low,residential,1,1,0,0,Sunday,2,1,1,rain,0
10840,Karlova,2026-02-22 02:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Sunday,2,1,1,rain,0
10841,Kesklinn,2026-02-22 02:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Sunday,2,1,1,rain,0
10842,Kvissentali,2026-02-22 02:00:00,865,1.509,573,low,residential,0,0,0,0,Sunday,2,1,1,rain,0
10843,Maarjamõisa,2026-02-22 02:00:00,477,1.133,421,low,residential,0,0,0,0,Sunday,2,1,1,rain,0
10844,Raadi-Kruusamäe,2026-02-22 02:00:00,4804,2.828,1699,low,residential,0,0,0,0,Sunday,2,1,1,rain,0
10845,Ropka,2026-02-22 02:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Sunday,2,1,1,rain,0
10846,Ropka tööstuse,2026-02-22 02:00:00,2198,3.249,676,low,commercial,1,1,0,0,Sunday,2,1,1,rain,0
10847,Ränilinn,2026-02-22 02:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Sunday,2,1,1,rain,0
10848,Supilinn,2026-02-22 02:00:00,2307,0.483,4776,low,residential,1,0,1,0,Sunday,2,1,1,rain,0
10849,Tammelinn,2026-02-22 02:00:00,8118,3.182,2551,low,residential,0,0,0,0,Sunday,2,1,1,rain,0
10850,Tähtvere,2026-02-22 02:00:00,3158,2.5,1263,low,residential,0,0,0,0,Sunday,2,1,1,rain,0
10851,Vaksali,2026-02-22 02:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Sunday,2,1,1,rain,0
10852,Variku,2026-02-22 02:00:00,1714,0.761,2252,low,residential,1,0,0,0,Sunday,2,1,1,rain,0
10853,Veeriku,2026-02-22 02:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Sunday,2,1,1,rain,0
10854,Ülejõe,2026-02-22 02:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Sunday,2,1,1,rain,0
10855,Annelinn,2026-02-22 03:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Sunday,3,1,1,rain,0
10856,Ihaste,2026-02-22 03:00:00,3050,4.8,635,low,residential,0,0,0,0,Sunday,3,1,1,rain,0
10857,Jaamamõisa,2026-02-22 03:00:00,3464,1.5,2309,low,residential,1,1,0,0,Sunday,3,1,1,rain,0
10858,Karlova,2026-02-22 03:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Sunday,3,1,1,rain,0
10859,Kesklinn,2026-02-22 03:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Sunday,3,1,1,rain,0
10860,Kvissentali,2026-02-22 03:00:00,865,1.509,573,low,residential,0,0,0,0,Sunday,3,1,1,rain,0
10861,Maarjamõisa,2026-02-22 03:00:00,477,1.133,421,low,residential,0,0,0,0,Sunday,3,1,1,rain,0
10862,Raadi-Kruusamäe,2026-02-22 03:00:00,4804,2.828,1699,low,residential,0,0,0,0,Sunday,3,1,1,rain,0
10863,Ropka,2026-02-22 03:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Sunday,3,1,1,rain,0
10864,Ropka tööstuse,2026-02-22 03:00:00,2198,3.249,676,low,commercial,1,1,0,0,Sunday,3,1,1,rain,0
10865,Ränilinn,2026-02-22 03:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Sunday,3,1,1,rain,0
10866,Supilinn,2026-02-22 03:00:00,2307,0.483,4776,low,residential,1,0,1,0,Sunday,3,1,1,rain,0
10867,Tammelinn,2026-02-22 03:00:00,8118,3.182,2551,low,residential,0,0,0,0,Sunday,3,1,1,rain,0
10868,Tähtvere,2026-02-22 03:00:00,3158,2.5,1263,low,residential,0,0,0,0,Sunday,3,1,1,rain,0
10869,Vaksali,2026-02-22 03:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Sunday,3,1,1,rain,1
10870,Variku,2026-02-22 03:00:00,1714,0.761,2252,low,residential,1,0,0,0,Sunday,3,1,1,rain,0
10871,Veeriku,2026-02-22 03:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Sunday,3,1,1,rain,0
10872,Ülejõe,2026-02-22 03:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Sunday,3,1,1,rain,0
10873,Annelinn,2026-02-22 04:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Sunday,4,1,1,rain,0
10874,Ihaste,2026-02-22 04:00:00,3050,4.8,635,low,residential,0,0,0,0,Sunday,4,1,1,rain,0
10875,Jaamamõisa,2026-02-22 04:00:00,3464,1.5,2309,low,residential,1,1,0,0,Sunday,4,1,1,rain,0
10876,Karlova,2026-02-22 04:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Sunday,4,1,1,rain,0
10877,Kesklinn,2026-02-22 04:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Sunday,4,1,1,rain,1
10878,Kvissentali,2026-02-22 04:00:00,865,1.509,573,low,residential,0,0,0,0,Sunday,4,1,1,rain,0
10879,Maarjamõisa,2026-02-22 04:00:00,477,1.133,421,low,residential,0,0,0,0,Sunday,4,1,1,rain,0
10880,Raadi-Kruusamäe,2026-02-22 04:00:00,4804,2.828,1699,low,residential,0,0,0,0,Sunday,4,1,1,rain,0
10881,Ropka,2026-02-22 04:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Sunday,4,1,1,rain,0
10882,Ropka tööstuse,2026-02-22 04:00:00,2198,3.249,676,low,commercial,1,1,0,0,Sunday,4,1,1,rain,0
10883,Ränilinn,2026-02-22 04:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Sunday,4,1,1,rain,0
10884,Supilinn,2026-02-22 04:00:00,2307,0.483,4776,low,residential,1,0,1,0,Sunday,4,1,1,rain,0
10885,Tammelinn,2026-02-22 04:00:00,8118,3.182,2551,low,residential,0,0,0,0,Sunday,4,1,1,rain,0
10886,Tähtvere,2026-02-22 04:00:00,3158,2.5,1263,low,residential,0,0,0,0,Sunday,4,1,1,rain,0
10887,Vaksali,2026-02-22 04:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Sunday,4,1,1,rain,0
10888,Variku,2026-02-22 04:00:00,1714,0.761,2252,low,residential,1,0,0,0,Sunday,4,1,1,rain,0
10889,Veeriku,2026-02-22 04:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Sunday,4,1,1,rain,0
10890,Ülejõe,2026-02-22 04:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Sunday,4,1,1,rain,0
10891,Annelinn,2026-02-22 05:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Sunday,5,1,1,rain,0
10892,Ihaste,2026-02-22 05:00:00,3050,4.8,635,low,residential,0,0,0,0,Sunday,5,1,1,rain,0
10893,Jaamamõisa,2026-02-22 05:00:00,3464,1.5,2309,low,residential,1,1,0,0,Sunday,5,1,1,rain,0
10894,Karlova,2026-02-22 05:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Sunday,5,1,1,rain,0
10895,Kesklinn,2026-02-22 05:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Sunday,5,1,1,rain,0
10896,Kvissentali,2026-02-22 05:00:00,865,1.509,573,low,residential,0,0,0,0,Sunday,5,1,1,rain,0
10897,Maarjamõisa,2026-02-22 05:00:00,477,1.133,421,low,residential,0,0,0,0,Sunday,5,1,1,rain,0
10898,Raadi-Kruusamäe,2026-02-22 05:00:00,4804,2.828,1699,low,residential,0,0,0,0,Sunday,5,1,1,rain,0
10899,Ropka,2026-02-22 05:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Sunday,5,1,1,rain,0
10900,Ropka tööstuse,2026-02-22 05:00:00,2198,3.249,676,low,commercial,1,1,0,0,Sunday,5,1,1,rain,0
10901,Ränilinn,2026-02-22 05:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Sunday,5,1,1,rain,0
10902,Supilinn,2026-02-22 05:00:00,2307,0.483,4776,low,residential,1,0,1,0,Sunday,5,1,1,rain,0
10903,Tammelinn,2026-02-22 05:00:00,8118,3.182,2551,low,residential,0,0,0,0,Sunday,5,1,1,rain,0
10904,Tähtvere,2026-02-22 05:00:00,3158,2.5,1263,low,residential,0,0,0,0,Sunday,5,1,1,rain,0
10905,Vaksali,2026-02-22 05:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Sunday,5,1,1,rain,0
10906,Variku,2026-02-22 05:00:00,1714,0.761,2252,low,residential,1,0,0,0,Sunday,5,1,1,rain,0
10907,Veeriku,2026-02-22 05:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Sunday,5,1,1,rain,0
10908,Ülejõe,2026-02-22 05:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Sunday,5,1,1,rain,0
10909,Annelinn,2026-02-22 06:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Sunday,6,1,0,rain,0
10910,Ihaste,2026-02-22 06:00:00,3050,4.8,635,low,residential,0,0,0,0,Sunday,6,1,0,rain,0
10911,Jaamamõisa,2026-02-22 06:00:00,3464,1.5,2309,low,residential,1,1,0,0,Sunday,6,1,0,rain,0
10912,Karlova,2026-02-22 06:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Sunday,6,1,0,rain,0
10913,Kesklinn,2026-02-22 06:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Sunday,6,1,0,rain,0
10914,Kvissentali,2026-02-22 06:00:00,865,1.509,573,low,residential,0,0,0,0,Sunday,6,1,0,rain,0
10915,Maarjamõisa,2026-02-22 06:00:00,477,1.133,421,low,residential,0,0,0,0,Sunday,6,1,0,rain,0
10916,Raadi-Kruusamäe,2026-02-22 06:00:00,4804,2.828,1699,low,residential,0,0,0,0,Sunday,6,1,0,rain,0
10917,Ropka,2026-02-22 06:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Sunday,6,1,0,rain,0
10918,Ropka tööstuse,2026-02-22 06:00:00,2198,3.249,676,low,commercial,1,1,0,0,Sunday,6,1,0,rain,0
10919,Ränilinn,2026-02-22 06:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Sunday,6,1,0,rain,0
10920,Supilinn,2026-02-22 06:00:00,2307,0.483,4776,low,residential,1,0,1,0,Sunday,6,1,0,rain,0
10921,Tammelinn,2026-02-22 06:00:00,8118,3.182,2551,low,residential,0,0,0,0,Sunday,6,1,0,rain,0
10922,Tähtvere,2026-02-22 06:00:00,3158,2.5,1263,low,residential,0,0,0,0,Sunday,6,1,0,rain,0
10923,Vaksali,2026-02-22 06:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Sunday,6,1,0,rain,0
10924,Variku,2026-02-22 06:00:00,1714,0.761,2252,low,residential,1,0,0,0,Sunday,6,1,0,rain,0
10925,Veeriku,2026-02-22 06:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Sunday,6,1,0,rain,0
10926,Ülejõe,2026-02-22 06:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Sunday,6,1,0,rain,0
10927,Annelinn,2026-02-22 07:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Sunday,7,1,0,rain,0
10928,Ihaste,2026-02-22 07:00:00,3050,4.8,635,low,residential,0,0,0,0,Sunday,7,1,0,rain,0
10929,Jaamamõisa,2026-02-22 07:00:00,3464,1.5,2309,low,residential,1,1,0,0,Sunday,7,1,0,rain,0
10930,Karlova,2026-02-22 07:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Sunday,7,1,0,rain,0
10931,Kesklinn,2026-02-22 07:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Sunday,7,1,0,rain,0
10932,Kvissentali,2026-02-22 07:00:00,865,1.509,573,low,residential,0,0,0,0,Sunday,7,1,0,rain,0
10933,Maarjamõisa,2026-02-22 07:00:00,477,1.133,421,low,residential,0,0,0,0,Sunday,7,1,0,rain,0
10934,Raadi-Kruusamäe,2026-02-22 07:00:00,4804,2.828,1699,low,residential,0,0,0,0,Sunday,7,1,0,rain,0
10935,Ropka,2026-02-22 07:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Sunday,7,1,0,rain,0
10936,Ropka tööstuse,2026-02-22 07:00:00,2198,3.249,676,low,commercial,1,1,0,0,Sunday,7,1,0,rain,0
10937,Ränilinn,2026-02-22 07:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Sunday,7,1,0,rain,0
10938,Supilinn,2026-02-22 07:00:00,2307,0.483,4776,low,residential,1,0,1,0,Sunday,7,1,0,rain,0
10939,Tammelinn,2026-02-22 07:00:00,8118,3.182,2551,low,residential,0,0,0,0,Sunday,7,1,0,rain,0
10940,Tähtvere,2026-02-22 07:00:00,3158,2.5,1263,low,residential,0,0,0,0,Sunday,7,1,0,rain,0
10941,Vaksali,2026-02-22 07:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Sunday,7,1,0,rain,0
10942,Variku,2026-02-22 07:00:00,1714,0.761,2252,low,residential,1,0,0,0,Sunday,7,1,0,rain,0
10943,Veeriku,2026-02-22 07:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Sunday,7,1,0,rain,0
10944,Ülejõe,2026-02-22 07:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Sunday,7,1,0,rain,0
10945,Annelinn,2026-02-22 08:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Sunday,8,1,0,rain,0
10946,Ihaste,2026-02-22 08:00:00,3050,4.8,635,low,residential,0,0,0,0,Sunday,8,1,0,rain,0
10947,Jaamamõisa,2026-02-22 08:00:00,3464,1.5,2309,low,residential,1,1,0,0,Sunday,8,1,0,rain,0
10948,Karlova,2026-02-22 08:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Sunday,8,1,0,rain,0
10949,Kesklinn,2026-02-22 08:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Sunday,8,1,0,rain,0
10950,Kvissentali,2026-02-22 08:00:00,865,1.509,573,low,residential,0,0,0,0,Sunday,8,1,0,rain,0
10951,Maarjamõisa,2026-02-22 08:00:00,477,1.133,421,low,residential,0,0,0,0,Sunday,8,1,0,rain,0
10952,Raadi-Kruusamäe,2026-02-22 08:00:00,4804,2.828,1699,low,residential,0,0,0,0,Sunday,8,1,0,rain,0
10953,Ropka,2026-02-22 08:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Sunday,8,1,0,rain,0
10954,Ropka tööstuse,2026-02-22 08:00:00,2198,3.249,676,low,commercial,1,1,0,0,Sunday,8,1,0,rain,0
10955,Ränilinn,2026-02-22 08:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Sunday,8,1,0,rain,0
10956,Supilinn,2026-02-22 08:00:00,2307,0.483,4776,low,residential,1,0,1,0,Sunday,8,1,0,rain,0
10957,Tammelinn,2026-02-22 08:00:00,8118,3.182,2551,low,residential,0,0,0,0,Sunday,8,1,0,rain,0
10958,Tähtvere,2026-02-22 08:00:00,3158,2.5,1263,low,residential,0,0,0,0,Sunday,8,1,0,rain,0
10959,Vaksali,2026-02-22 08:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Sunday,8,1,0,rain,0
10960,Variku,2026-02-22 08:00:00,1714,0.761,2252,low,residential,1,0,0,0,Sunday,8,1,0,rain,0
10961,Veeriku,2026-02-22 08:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Sunday,8,1,0,rain,0
10962,Ülejõe,2026-02-22 08:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Sunday,8,1,0,rain,0
10963,Annelinn,2026-02-22 09:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Sunday,9,1,0,rain,0
10964,Ihaste,2026-02-22 09:00:00,3050,4.8,635,low,residential,0,0,0,0,Sunday,9,1,0,rain,0
10965,Jaamamõisa,2026-02-22 09:00:00,3464,1.5,2309,low,residential,1,1,0,0,Sunday,9,1,0,rain,0
10966,Karlova,2026-02-22 09:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Sunday,9,1,0,rain,1
10967,Kesklinn,2026-02-22 09:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Sunday,9,1,0,rain,0
10968,Kvissentali,2026-02-22 09:00:00,865,1.509,573,low,residential,0,0,0,0,Sunday,9,1,0,rain,0
10969,Maarjamõisa,2026-02-22 09:00:00,477,1.133,421,low,residential,0,0,0,0,Sunday,9,1,0,rain,0
10970,Raadi-Kruusamäe,2026-02-22 09:00:00,4804,2.828,1699,low,residential,0,0,0,0,Sunday,9,1,0,rain,0
10971,Ropka,2026-02-22 09:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Sunday,9,1,0,rain,0
10972,Ropka tööstuse,2026-02-22 09:00:00,2198,3.249,676,low,commercial,1,1,0,0,Sunday,9,1,0,rain,0
10973,Ränilinn,2026-02-22 09:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Sunday,9,1,0,rain,0
10974,Supilinn,2026-02-22 09:00:00,2307,0.483,4776,low,residential,1,0,1,0,Sunday,9,1,0,rain,0
10975,Tammelinn,2026-02-22 09:00:00,8118,3.182,2551,low,residential,0,0,0,0,Sunday,9,1,0,rain,0
10976,Tähtvere,2026-02-22 09:00:00,3158,2.5,1263,low,residential,0,0,0,0,Sunday,9,1,0,rain,0
10977,Vaksali,2026-02-22 09:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Sunday,9,1,0,rain,0
10978,Variku,2026-02-22 09:00:00,1714,0.761,2252,low,residential,1,0,0,0,Sunday,9,1,0,rain,0
10979,Veeriku,2026-02-22 09:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Sunday,9,1,0,rain,0
